This file contains a list of stations that provided input data to the PRISM run that produced the grid associated with this stn.csv file.
Station,Name,Longitude,Latitude,Elevation(m),Network,station_id
"AFTY","AFTON",-110.9358,42.7333,1893,"AGRIMET","2"
"AHTI","ASHTON",-111.4667,44.0250,1615,"AGRIMET","4"
"BANO","BANDON",-124.4172,43.0911,24,"AGRIMET","6"
"CHVO","CHRISTMAS VA",-120.7281,43.2414,1329,"AGRIMET","15"
"COVM","CORVALLIS",-114.0833,46.3333,1096,"AGRIMET","17"
"CRSM","CRESTON",-114.1278,48.1875,899,"AGRIMET","18"
"CRVO","CORVALLIS",-123.1900,44.6342,70,"AGRIMET","19"
"DEFO","DEE FLAT",-121.6472,45.5736,384,"AGRIMET","20"
"ECHO","ECHO",-119.3500,45.7111,232,"AGRIMET","24"
"FAFI","FAIRFIELD",-114.8250,43.3083,1536,"AGRIMET","26"
"GERW","GEORGE",-119.6422,47.0439,351,"AGRIMET","32"
"HERO","HERMISTON",-119.5122,45.8211,168,"AGRIMET","36"
"HOXO","HOOD RIVER",-121.5181,45.6844,155,"AGRIMET","37"
"HRHW","HARRAH",-120.5744,46.3847,259,"AGRIMET","39"
"LAKO","LAKEVIEW",-120.5231,42.1222,1454,"AGRIMET","45"
"LEGW","LEGROW",-118.9361,46.2053,177,"AGRIMET","47"
"MALI","MALTA",-113.4139,42.4375,1344,"AGRIMET","51"
"MDFO","MEDFORD",-122.9378,42.3311,408,"AGRIMET","53"
"MRSO","MADRAS",-121.1486,44.6800,744,"AGRIMET","55"
"ODSW","ODESSA",-118.8786,47.3089,503,"AGRIMET","57"
"OMAW","OMAK",-119.5761,48.4025,376,"AGRIMET","58"
"PARO","PARKDALE",-121.6167,45.5444,451,"AGRIMET","60"
"PCYO","PRAIRIE CITY",-118.6278,44.4408,1144,"AGRIMET","61"
"PMAI","PARMA",-116.9333,43.8000,703,"AGRIMET","63"
"PNGO","PINEGROVE",-121.5056,45.6500,189,"AGRIMET","64"
"RDBM","ROUNDBUTTE",-114.2806,47.5394,927,"AGRIMET","66"
"RPTI","RUPERT",-113.8381,42.5950,1266,"AGRIMET","67"
"RXGI","REXBURG",-111.7667,43.8500,1486,"AGRIMET","69"
"TWFI","TWIN FALLS (",-114.3453,42.5461,1195,"AGRIMET","73"
"CWAJ","ERIEAU (MAPS",-81.9000,42.2500,70,"ASOS","174"
"CWDV","UPSALA (MARS",-90.4700,49.0300,31,"ASOS","237"
"CWEH","EASTEND CYPR",-108.9800,49.4300,1078,"ASOS","245"
"CWER","ILE D'ORLEAN",-70.8200,47.0000,5,"ASOS","254"
"CWKO","ROCKGLEN (MA",-105.9800,49.1700,50,"ASOS","362"
"CWMW","MANIWAKI, QU",-75.9667,46.3833,170,"ASOS","403"
"CWNC","COBOURG (MAR",-78.1700,43.9500,95,"ASOS","407"
"CWNZ","NAGAGAMI (MA",-84.1700,49.7500,256,"ASOS","423"
"CWPC","PORT COLBORN",-79.2500,42.8700,64,"ASOS","438"
"CWPO","PILOT MOUND",-98.9000,49.2000,23,"ASOS","447"
"CWQP","POINT PETRE",-77.1500,43.8300,52,"ASOS","465"
"CWSS","ST. STEPHEN",-67.2500,45.2000,26,"ASOS","505"
"CYBG","BAGOTVILLE(C",-71.0000,48.3300,33,"ASOS","720"
"CYBR","BRANDON AIRP",-99.9500,49.9200,24,"ASOS","724"
"CYEN","ESTEVAN AIRP",-102.9700,49.2200,20,"ASOS","754"
"CYFC","FREDERICTON",-66.5300,45.8700,54,"ASOS","759"
"CYGK","KINGSTON ARP",-76.6000,44.2200,71,"ASOS","766"
"CYGQ","GERALDTON AI",-86.9300,49.7800,27,"ASOS","770"
"CYHD","DRYDEN AIRPO",-92.7500,49.8300,32,"ASOS","778"
"CYKZ","TORONTO BUTT",-79.3700,43.8700,69,"ASOS","802"
"CYMT","CHIBOUGAMAU-",-74.5300,49.7700,32,"ASOS","819"
"CYND","GATINEAU AIR",-75.5700,45.5200,64,"ASOS","824"
"CYOW","OTTAWA INTL",-75.6700,45.3200,69,"ASOS","831"
"CYPG","PORTAGE SOUT",-98.2700,49.9000,269,"ASOS","837"
"CYPQ","PETERBOROUGH",-78.3700,44.2300,40,"ASOS","841"
"CYQG","WINDSOR AIRP",-82.9700,42.2700,79,"ASOS","852"
"CYQK","KENORA AIRPO",-94.3700,49.7800,48,"ASOS","855"
"CYQQ","COMOX (CAN-M",-124.9000,49.7200,48,"ASOS","858"
"CYQT","THUNDER BAY",-89.3200,48.3700,37,"ASOS","860"
"CYRJ","ROBERVAL AIR",-72.2700,48.5200,59,"ASOS","869"
"CYSB","SUDBURY AIRP",-80.8000,46.6200,49,"ASOS","875"
"CYSC","SHERBROOKE A",-71.6800,45.4300,52,"ASOS","876"
"CYSL","SAINT LEONAR",-67.8300,47.1500,241,"ASOS","881"
"CYTR","TRENTON (CAN",-77.5300,44.1200,51,"ASOS","894"
"CYTS","TIMMINS AIRP",-81.3700,48.5700,39,"ASOS","895"
"CYUL","MONTREAL/DOR",-73.7500,45.4700,78,"ASOS","902"
"CYUY","ROUYN AIRPOR",-78.8300,48.2000,39,"ASOS","908"
"CYVO","VAL D'OR AIR",-77.7800,48.0700,37,"ASOS","911"
"CYVR","VANCOUVER IN",-123.1700,49.1800,58,"ASOS","914"
"CYVV","WIARTON AIRP",-81.1000,44.7500,45,"ASOS","916"
"CYWA","PETAWAWA A,O",-77.3200,45.9500,45,"ASOS","917"
"CYWG","WINNIPEG INT",-97.2300,49.9000,27,"ASOS","918"
"CYXC","CRANBROOK AI",-115.7800,49.6000,67,"ASOS","926"
"CYXU","LONDON AIRPO",-81.1500,43.0300,53,"ASOS","938"
"CYXX","ABBOTSFORD A",-122.3700,49.0300,58,"ASOS","939"
"CYYB","NORTH BAY AI",-79.4300,46.3500,56,"ASOS","942"
"CYYF","PENTICTON AI",-119.6000,49.4700,94,"ASOS","946"
"CYYJ","VICTORIA INT",-123.4300,48.6500,47,"ASOS","949"
"CYYU","KAPUSKASING",-82.4700,49.4200,33,"ASOS","955"
"CYYY","MONT JOLI AI",-68.2200,48.6000,48,"ASOS","957"
"CYYZ","TORONTO/PEAR",-79.6300,43.6700,68,"ASOS","958"
